"name","url","license_link","license_text","license_name","language_name","active","color_background","color_foreground","filtered_keywords"
"Africa Check","https://africacheck.org/feed","https://africacheck.org/fact-check/republish-our-work","We believe that everyone needs the facts.

You can republish the text of this article free of charge, both online and in print. However, we ask that you pay attention to these simple guidelines. In a nutshell:

1. Do not include images, as in most cases we do not own the copyright.

2. Please do not edit the article.

3. Make sure you credit ""Africa Check"" in the byline and don't forget to mention that the article was originally published on africacheck.org.","Attribution+","English","1","#dc7a28","#414042",
"Texas Tribune","https://feeds.texastribune.org/feeds/main/","https://www.texastribune.org/republishing-guidelines/","The Tribune’s goal is to educate and engage Texans. That’s why you’re welcome to republish our articles and graphics for free using the following ground rules. (Please let us know if you republish our stories; it makes us happy!)","Attribution+","English","0","#ffc101","#1c1c1c",
"Agencia Brasil","https://agenciabrasil.ebc.com.br/rss/ultimasnoticias/feed.xml","https://www.ebc.com.br/termos-de-uso-e-condicoes-gerais-do-portal-da-ebc","Reprodução autorizada mediante indicação da fonte.","Attribution+","Português (Portuguese)","1","#ffd00d","#128241",
"Международное французское радио","http://ru.rfi.fr/general/rss","http://www.rfi.fr/regles-de-republication","Vous êtes libres de republier gratuitement cet article sur votre site internet. Nous vous demandons de suivre ces Règles de base
Le Partenaire s'engage à ne pas porter atteinte au droit moral des journalistes. A ce titre, le Contenu devra être reproduit et représenté par le Partenaire tel qu'il a été mis à disposition par RFI, sans modifications, coupures, ajouts, incrustations, altérations, réductions ou insertions
Ajoutez cet article à votre site Web en copiant le code ci-dessous.","CC BY-SA","Русский (Russian)","1","#e3001b","#ffffff",
"संयुक्त राष्ट्र समाचार","https://news.un.org/feed/subscribe/hi/news/all/rss.xml","https://shop.un.org/rights-permissions","The United Nations welcomes the use of UN News Centre articles as long as the articles are posted in their entirety, without any edits and with proper credits accorded. We also require that, where applicable, you provide a link a back to the story on the UN News Centre home page www.un.org/news","Attribution+","हिन्दी‎ (Hindi)","1","#5b92e5","#000000",
"Mongabay","https://jp.mongabay.com/feed/","https://news.mongabay.com/copyright/creative-commons-by-nc-nd/","Mongabay articles are licensed under a Creative Commons Attribution-NoDerivatives 4.0 International License.
We strongly encourage anyone to republish stories that appear here either online and in print, as long as you follow some simple guidelines...","CC BY-ND","日本語 (Japanese)","1","#669a00","#ffffff",
"GroundUp","https://www.groundup.org.za/sitenews/rss/","https://www.groundup.org.za/copyright/","We want our articles to be republished. You are welcome and encouraged to copy nearly any article or photo we publish, so long as:
-You credit GroundUp.
-You credit the author(s) or photographer(s).
-You don't make any substantive edits to the article or photo.
It's also nice if you include a link back to the article or photo on our site.","CC BY-ND","English","1","#151e23","#00b6f4",
"eldiario.es","http://www.eldiario.es/rss","https://www.eldiario.es/licencia/","eldiario.es utiliza una licencia Creative Commons. Concretamente la más abierta de todas: la BY-NC (ver detalle).","CC BY-NC","Español (Spanish)","1","#10568a","#ffffff","EPA"
"Voice of America","https://www.voanews.com/api/","https://www.voanews.com/p/5338.html","All text, audio and video material produced exclusively by the Voice of America is in the public domain. Credit for any use of VOA material should be given to voanews.com, Voice of America, or VOA. However, voanews.com content may also contain text, video, audio, images, graphics, and other copyrighted material that is licensed for use in VOA programming only. This material is not in the public domain and may not be copied, redistributed, sold, or published without the express permission of the copyright owner.","Public Domain","English","1","#3b79b7","#ffffff","VOA Newscasts"
"نقاش","http://feeds.feedburner.com/Niqash_ar",,"This work is licensed under a Creative Commons Attribution-No Derivative Works 2.0 Germany License.","CC BY-ND","(Arabic) العَرَبِيَّة‎","0","#c6411c","#7a8365",
"خبرگزاری تسنیم","https://www.tasnimnews.com/fa/rss/feed/0/8/0/%D9%85%D9%87%D9%85%D8%AA%D8%B1%DB%8C%D9%86-%D8%A7%D8%AE%D8%A8%D8%A7%D8%B1",,"All Content by Tasnim News Agency is licensed under a Creative Commons Attribution 4.0 International License.","CC BY","(Farsi) فارسی","1","#a91e22","#ffffff",
"PanARMENIAN.Net","https://stickers.panarmenian.net/feeds/arm/details/",,,"CC BY","հայերէն (Armenian)","1","#4041ce","#e50000",
"The Conversation","https://theconversation.com/articles.atom?language=id","https://theconversation.com/id/republishing-guidelines","Kami percaya akan aliran informasi yang bebas maka kami terbit di bawah lisensi Creative Commons—Lisensi Atribusi/Tanpa turunan. Artinya Anda bisa merepublikasi artikel kami daring atau cetak secara gratis, sepanjang Anda mengikuti panduan ini…","CC BY-ND","Bahasa Indonesia (Indonesian)","1","#d8352a","#383838",
"ערב רב","https://www.erev-rav.com/feed/",,"2019 ערב רב | תנאי השימוש כפופים לרישיון ייחוס-שיתוף זהה 2.5 ישראל של Creative Commons אלא אם סוכם אחרת","CC BY-NC-ND","(Hebrew) עברית‎","1","#ceeffc","#000000",
"Radio France Internationale","http://www.rfi.fr/general/rss","http://www.rfi.fr/regles-de-republication","Vous êtes libres de republier gratuitement cet article sur votre site internet. Nous vous demandons de suivre ces Règles de base
Le Partenaire s'engage à ne pas porter atteinte au droit moral des journalistes. A ce titre, le Contenu devra être reproduit et représenté par le Partenaire tel qu'il a été mis à disposition par RFI, sans modifications, coupures, ajouts, incrustations, altérations, réductions ou insertions
Ajoutez cet article à votre site Web en copiant le code ci-dessous.","Attribution+","Français (French)","1","#e3001b","#ffffff",
"JusticeInfo.net","https://www.justiceinfo.net/en/feed","https://www.justiceinfo.net/en/about-us.html","You are free to republish this article both online and in print. We ask that you follow some simple rules described on our copyright.
Please do not edit the piece, ensure that you attribute the author, their institute, and mention that the article was originally published on Justiceinfo.net","CC BY-NC-ND","English","1","#fcce55","#8e8987","AFP"
